year,country,region,sub_region,iso_alpha,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2015,Switzerland,Europe,Western Europe,CHE,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978
2015,Iceland,Europe,Northern Europe,ISL,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145
2015,Denmark,Europe,Northern Europe,DNK,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357
2015,Norway,Europe,Northern Europe,NOR,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503
2015,Canada,Americas,Northern America,CAN,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957
2015,Finland,Europe,Northern Europe,FIN,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372
2015,Netherlands,Europe,Western Europe,NLD,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814
2015,Sweden,Europe,Northern Europe,SWE,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844
2015,New Zealand,Oceania,Australia and New Zealand,NZL,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922
2015,Australia,Oceania,Australia and New Zealand,AUS,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637
2015,Israel,Asia,Western Asia,ISR,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785
2015,Costa Rica,Americas,Latin America and the Caribbean,CRI,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583
2015,Austria,Europe,Western Europe,AUT,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676
2015,Mexico,Americas,Latin America and the Caribbean,MEX,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312
2015,United States,Americas,Northern America,USA,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589
2015,Brazil,Americas,Latin America and the Caribbean,BRA,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521
2015,Ireland,Europe,Northern Europe,IRL,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703
2015,Belgium,Europe,Western Europe,BEL,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254
2015,United Arab Emirates,Asia,Western Asia,ARE,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583
2015,United Kingdom,Europe,Northern Europe,GBR,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067
2015,Venezuela,Americas,Latin America and the Caribbean,VEN,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069
2015,Singapore,Asia,South-eastern Asia,SGP,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921
2015,Panama,Americas,Latin America and the Caribbean,PAN,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927
2015,Germany,Europe,Western Europe,DEU,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843
2015,Chile,Americas,Latin America and the Caribbean,CHL,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869
2015,France,Europe,Western Europe,FRA,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646
2015,Argentina,Americas,Latin America and the Caribbean,ARG,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484
2015,Uruguay,Americas,Latin America and the Caribbean,URY,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558
2015,Colombia,Americas,Latin America and the Caribbean,COL,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512
2015,Thailand,Asia,South-eastern Asia,THA,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187
2015,Saudi Arabia,Asia,Western Asia,SAU,6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524
2015,Spain,Europe,Southern Europe,ESP,6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398
2015,Malta,Europe,Southern Europe,MLT,6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586
2015,El Salvador,Americas,Latin America and the Caribbean,SLV,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776
2015,Uzbekistan,Asia,Central Asia,UZB,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826
2015,Slovakia,Europe,Eastern Europe,SVK,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431
2015,Japan,Asia,Eastern Asia,JPN,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806
2015,South Korea,Asia,Eastern Asia,PRK,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857
2015,Ecuador,Americas,Latin America and the Caribbean,ECU,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809
2015,Bahrain,Asia,Western Asia,BHR,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306
2015,Italy,Europe,Southern Europe,ITA,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901
2015,Bolivia,Americas,Latin America and the Caribbean,BOL,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088
2015,Moldova,Europe,Eastern Europe,MDA,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615
2015,Paraguay,Americas,Latin America and the Caribbean,PRY,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242
2015,Kazakhstan,Asia,Central Asia,KAZ,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454
2015,Slovenia,Europe,Southern Europe,SVN,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787
2015,Lithuania,Europe,Northern Europe,LTU,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031
2015,Nicaragua,Americas,Latin America and the Caribbean,NIC,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317
2015,Peru,Americas,Latin America and the Caribbean,PER,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989
2015,Poland,Europe,Eastern Europe,POL,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212
2015,Malaysia,Asia,South-eastern Asia,MYS,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501
2015,Croatia,Europe,Southern Europe,HRV,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243
2015,Russia,Europe,Eastern Europe,RUS,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005
2015,Jamaica,Americas,Latin America and the Caribbean,JAM,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299
2015,Cyprus,Asia,Western Asia,CYP,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146
2015,Algeria,Africa,Northern Africa,DZA,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383
2015,Mauritius,Africa,Sub-Saharan Africa,MUS,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521
2015,Estonia,Europe,Northern Europe,EST,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184
2015,Indonesia,Asia,South-eastern Asia,IDN,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0
2015,Vietnam,Asia,South-eastern Asia,VNM,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441
2015,Kyrgyzstan,Asia,Central Asia,KGZ,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232
2015,Nigeria,Africa,Sub-Saharan Africa,NGA,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403
2015,Pakistan,Asia,Southern Asia,PAK,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464
2015,Jordan,Asia,Western Asia,JOR,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293
2015,Montenegro,Europe,Southern Europe,MNE,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296
2015,China,Asia,Eastern Asia,CHN,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781
2015,Zambia,Africa,Sub-Saharan Africa,ZMB,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468
2015,Romania,Europe,Eastern Europe,ROU,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649
2015,Serbia,Europe,Southern Europe,SRB,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617
2015,Portugal,Europe,Southern Europe,PRT,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078
2015,Latvia,Europe,Northern Europe,LVA,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332
2015,Philippines,Asia,South-eastern Asia,PHL,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279
2015,Morocco,Africa,Northern Africa,MAR,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546
2015,Albania,Europe,Southern Europe,ALB,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413
2015,Dominican Republic,Americas,Latin America and the Caribbean,DOM,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234
2015,Mongolia,Asia,Eastern Asia,MNG,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666
2015,Greece,Europe,Southern Europe,GRC,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397
2015,Lebanon,Asia,Western Asia,LBN,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582
2015,Hungary,Europe,Eastern Europe,HUN,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758
2015,Honduras,Americas,Latin America and the Caribbean,HND,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825
2015,Tajikistan,Asia,Central Asia,TJK,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072
2015,Tunisia,Africa,Northern Africa,TUN,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358
2015,Bangladesh,Asia,Southern Asia,BGD,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569
2015,Iran,Asia,Southern Asia,IRN,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863
2015,Ukraine,Europe,Eastern Europe,UKR,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961
2015,Iraq,Asia,Western Asia,IRQ,4.677,0.98549,0.81889,0.60237,0.0,0.17922,0.13788
2015,South Africa,Africa,Sub-Saharan Africa,ZAF,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884
2015,Ghana,Africa,Sub-Saharan Africa,GHA,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355
2015,Zimbabwe,Africa,Sub-Saharan Africa,ZWE,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079
2015,India,Asia,Southern Asia,IND,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492
2015,Nepal,Asia,Southern Asia,NPL,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907
2015,Ethiopia,Africa,Sub-Saharan Africa,ETH,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048
2015,Sierra Leone,Africa,Sub-Saharan Africa,SLE,4.507,0.33024,0.95571,0.0,0.4084,0.21488,0.08786
2015,Kenya,Africa,Sub-Saharan Africa,KEN,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839
2015,Armenia,Asia,Western Asia,ARM,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039
2015,Myanmar,Asia,South-eastern Asia,MMR,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034
2015,Georgia,Asia,Western Asia,GEO,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331
2015,Malawi,Africa,Sub-Saharan Africa,MWI,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977
2015,Sri Lanka,Asia,Southern Asia,LKA,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179
2015,Cameroon,Africa,Sub-Saharan Africa,CMR,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786
2015,Bulgaria,Europe,Eastern Europe,BGR,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872
2015,Egypt,Africa,Northern Africa,EGY,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324
2015,Mali,Africa,Sub-Saharan Africa,MLI,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352
2015,Uganda,Africa,Sub-Saharan Africa,UGA,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267
2015,Senegal,Africa,Sub-Saharan Africa,SEN,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713
2015,Gabon,Africa,Sub-Saharan Africa,GAB,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091
2015,Cambodia,Asia,South-eastern Asia,KHM,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247
2015,Tanzania,Africa,Sub-Saharan Africa,TZA,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747
2015,Guinea,Africa,Sub-Saharan Africa,GIN,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139
2015,Burkina Faso,Africa,Sub-Saharan Africa,BFA,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832
2015,Afghanistan,Asia,Southern Asia,AFG,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719
2015,Benin,Africa,Sub-Saharan Africa,BEN,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801
2015,Togo,Africa,Sub-Saharan Africa,TGO,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731
